NIS,Nama,Kelas,QR Code
2023001,"Ahmad Rizki Pratama","XII IPA 1",QR_2023001_1234567890
2023011,"Krisna Wijaya","XII IPA 1",QR_2023011_1234567900
2023002,"Siti Nurhaliza","XII IPA 1",QR_2023002_1234567891
2023005,"Eko Prasetyo","XII IPA 2",QR_2023005_1234567894
2023006,"Fitri Handayani","XII IPA 2",QR_2023006_1234567895
2023013,"Muhammad Fadli","XII IPA 2",QR_2023013_1234567902
2023009,"Indra Gunawan","XII IPA 3",QR_2023009_1234567898
2023010,"Jihan Aulia","XII IPA 3",QR_2023010_1234567899
2023015,"Omar Syahputra","XII IPA 3",QR_2023015_1234567904
2023003,"Budi Santoso","XII IPS 1",QR_2023003_1234567892
2023004,"Dewi Lestari","XII IPS 1",QR_2023004_1234567893
2023012,"Lina Marlina","XII IPS 1",QR_2023012_1234567901
2023007,"Galih Permana","XII IPS 2",QR_2023007_1234567896
2023008,"Hani Safitri","XII IPS 2",QR_2023008_1234567897
2023014,"Nisa Rahmawati","XII IPS 2",QR_2023014_1234567903
